wallet,tx_count,total_sent_sol,avg_tx_value,median_tx_value,max_tx_value,avg_fee,total_fee,fee_ratio,avg_tx_interval,std_tx_interval,unique_destinations,dest_entropy,token_diversity,mint_count,mint_ratio,type_system_transfer,type_spl-token_transfer,type_system_createAccount,type_spl-token_closeAccount,type_spl-token_transferChecked,type_address-lookup-table_extendLookupTable,type_spl-associated-token-account_createIdempotent,type_spl-associated-token-account_create,type_unknown,type_system_advanceNonce,type_system_createAccountWithSeed,type_spl-token_burn,type_spl-token_approveChecked,type_address-lookup-table_createLookupTable,type_spl-token_approve
UBkAV3tttqQ5b49LLc61LXMWomMdDxFKJEkmpTbMh9V,1,1e-06,1e-06,1e-06,1e-06,36400.0,36400,36400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBd6qFZK4d6T8YihpxkXu3m7xobz1gu79exLQyQPrEAe,2,0.001195,0.0005975,0.0005975,0.001194,5000.0,10000,5000.0,0.0,0.0,2,0.6931471805599453,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fi1ATv3uaofYyqsQrRTaQUtyWmH7HkR4MbrMU8KLHRtD,1,0.000892876,0.000892876,0.000892876,0.000892876,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7sENyJe79c4c57oSvC7x8UeTBancgCz6qbpuxj6LwYrL,1,0.000892876,0.000892876,0.000892876,0.000892876,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CtWPgw2Jj39cZ4G61UQTULVwYiQHwBLMhd6Ex9Hz1x5k,1,0.005,0.005,0.005,0.005,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHCuzPjfCKbLNRnKtWdaTQK7pd2UnsW9SWFwVrN9P6pf,4,1.894050067,0.47351251675,0.00035,1.893350062,10500.0,42000,10500.0,13.333333333333334,16.779617264870957,4,1.3862943611198906,0,0,0.0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DuikpvqVSoXsUUxbusmTiopuE58ApZ6RhCY74fMmoYie,1,2.202703387,2.202703387,2.202703387,2.202703387,15000.0,15000,15000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FDfyrHNs52HrkThVcHyUNPs24qSNjJoSVdMmtinj3xHD,1,0.0387,0.0387,0.0387,0.0387,15000.0,15000,15000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GwutwgQQ6oEmxZBYFv8FmEpwYRRFhBDqqFzKG5W3RoLe,1,0.018,0.018,0.018,0.018,15000.0,15000,15000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3y7RWwWDAgovQkA2sHwN23HMa5SLpFdkcbZ27nn2XgDP,1,1e-06,1e-06,1e-06,1e-06,36400.0,36400,36400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1AM9BoEDKu9wPeWdEEkhX3edUdDmEPTt1LpniwtAtZx,1,1e-06,1e-06,1e-06,1e-06,36400.0,36400,36400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FwC7ch9uDebQGzdyQAXkzJXQPzcWvraowFnWVK9CgJ8w,1,1e-06,1e-06,1e-06,1e-06,36400.0,36400,36400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4QjGhoMF2ka9aSXPXDSSfynHG6H66upjTRY749Fhuhw8,1,1e-06,1e-06,1e-06,1e-06,36400.0,36400,36400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8xvC2batK1bv3BS1U6XPP68ixiPoMykWKTLF2YFV5YSY,1,1e-06,1e-06,1e-06,1e-06,36400.0,36400,36400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fdq53xd1Et47pfxRVstMrQAHaJH4bVyWg2psDpBHLgL3,1,1e-06,1e-06,1e-06,1e-06,36400.0,36400,36400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5AjRJ5yraVEMKHpTDqFvZZxp5hGPr2owLjkrbQ9eUdcm,1,0.014,0.014,0.014,0.014,100000.0,100000,100000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HQcMPNVfmTzqP2g21dCmMkikUSWfLdLHUTjnJHfeDdyc,1,0.028,0.028,0.028,0.028,505000.0,505000,505000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R3XCnEWFFkpiBjDd1fSoF1j7ArbdXaNzmXcgdsqoawe,1,10.0,10.0,10.0,10.0,1339017.0,1339017,1339017.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2XmpbKwwedUFry1ci3JYDCXy4H2VV1D4iJcBafErSoVv,1,0.000979968,0.000979968,0.000979968,0.000979968,10000.0,10000,10000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7syRudJqxjRnSc1JmvijMnniAJEZVWZzxqa5b9PBJLWs,1,0.000979968,0.000979968,0.000979968,0.000979968,10000.0,10000,10000.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BVYGus5JFFE6NKGYnfQawMA37x169kJBNh2LwU42Vmij,1,0.01092,0.01092,0.01092,0.01092,10000.0,10000,10000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FycnbuMaPuJbp2Sd1GP8yZiERDp4CQXKxdv3PXaC3PVH,1,9e-05,9e-05,9e-05,9e-05,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERWjerw3JWPjnHLf5481SkVkekcLn5b4MhRpCe6Z2Vn8,1,9e-05,9e-05,9e-05,9e-05,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
