wallet,tx_count,total_fee,avg_fee,total_sent_sol,token_diversity,defi_activity_count,mint_count,tokens_minted,spl_tokens_sent,avg_tx_size,fee_ratio,defi_ratio,mint_ratio,cluster,pca1,pca2
ELoDaMwMvjzKJchfsxM1FAw2sRyiPFVhtrRNViDKQHdC,1,5000,5000.0,9665000,0,1,0,0,0,9665000.0,0.0005173305742369374,1.0,0.0,0,-0.07164086343859134,0.41968624828205486
BPBgyEmDtHyDsMMwvf3UixfaC9gZX2Nxf1AnCv3sC86X,1,5000,5000.0,10000,0,1,0,0,0,10000.0,0.5,1.0,0.0,0,-0.07247831781158653,0.4196819265551673
AZ9jfXgECdL9PdUE1NTcRFiChNoteg8hmoZ9xdEq6fEf,1,5000,5000.0,10000,0,1,0,0,0,10000.0,0.5,1.0,0.0,0,-0.07247831781158653,0.4196819265551673
FDw4YN7z8ujPMECieVVdxrFy1WPfFDLss6v59iR2KFyK,1,5000,5000.0,4710051,0,1,0,0,0,4710051.0,0.0010615596306706658,1.0,0.0,0,-0.07207063302022762,0.41968395167673006
EMXJqHznGSnSzeMyigBGQNEFw4EeaNDbj1UwaFTpp3sg,1,13040,13040.0,195430000,0,1,0,0,0,195430000.0,6.67246584454792e-05,1.0,0.0,0,-0.055515003725819925,0.41847626457829457
DbeiZmvJamETWAWQfwUqL9N68LA8UPCGxtow3mFJvJWa,1,80000,80000.0,3000000000,0,1,0,0,0,3000000000.0,2.6666666666666667e-05,1.0,0.0,0,0.1878525993012708,0.40898195631465917
2eWW7GSyaRff2niQdJxWzX1CVYy1h6yJwTtUd2sT6egp,1,100000,100000.0,2609096,0,1,0,0,0,2609096.0,0.03832745134713326,1.0,0.0,0,-0.07209387396888192,0.4043684763276636
4Ef91pfL1xsu1TSzRB1N5G6sxHShQ92tiqobh9WaNwXR,1,5000,5000.0,1000,0,1,0,0,0,1000.0,5.0,1.0,0.0,0,-0.07247931416392779,0.41968330680516464
8c5JaCNRkewwg8rQDHPt3xPik24mU7LvDbZM3VwBo4TW,2,10000,5000.0,30001000,0,1,0,0,0,15000500.0,0.00033332222259258026,0.5,0.0,2,-0.07237259593279054,-0.8028519125706989
6ebfhj9nSKrfE2UJCCLxRc8hRfA9yHZpzeUyssV9gZpd,1,5000,5000.0,2640000,0,1,0,0,0,2640000.0,0.001893939393939394,1.0,0.0,0,-0.072250179791739,0.4196829923998793
GJZYmEn3UGUeU6bd1SmZnnx44hpuH1XxjNQqyprWdUSu,1,5000,5000.0,6645,0,1,0,0,0,6645.0,0.7524454477050414,1.0,0.0,0,-0.07247862091133962,0.41968200266468175
ATj47SLV9DQK7yopRwKzfRPsWntwrHp1D1z6Z47nMWYR,1,5000,5000.0,20000,0,1,0,0,0,20000.0,0.25,1.0,0.0,0,-0.07247743847224054,0.41968185427815696
QcyUotyj8G3q8kABmMr6BKZCd1RZ7iUBNVbFBRTi2WY,2,10000,5000.0,201000,0,1,0,0,0,100500.0,0.04975124378109453,0.5,0.0,2,-0.07429733420598895,-0.8028521906421693
DnDdnhd8pP5sSFkq2h6b236ssn5xmvx7Hy9BZZd8MB8b,1,6000,6000.0,0,0,1,0,0,0,0.0,6000.0,1.0,0.0,0,-0.07276513245087565,0.421366458398132
8SveFUanfbLRMsL6NAXa1LCMmLEsUc7q7KhFBufscG5Y,3,315000,105000.0,101010001,0,1,0,0,0,33670000.333333336,0.0031185030876299067,0.3333333333333333,0.0,2,-0.06898395634028781,-1.2295341700427467
EqMon8Bx1wh8Mjp4Ke7azDw5qfV8hhjfyRovyDYzzXDD,1,5000,5000.0,220029249,0,1,0,0,0,220029249.0,2.2724251538030745e-05,1.0,0.0,0,-0.05339483307321661,0.41978375849296923
